year	papers	files	genelist	error	pcterror
2010	185	157	36	24	66.67
2011	175	129	32	9	28.12
2012	1043	1022	46	23	50.0
2013	376	351	75	33	44.0
2014	659	610	183	82	44.81
2015	1357	1174	307	134	43.65
2016	1600	1503	695	359	51.65
2017	2364	2234	739	285	38.57
2018	2294	2159	884	394	44.57
2019	1080	1025	449	193	42.98
