year	papers	files	genelist	error	pcterror
2010	8967	2174	253	93	36.76
2011	9541	2890	448	99	22.1
2012	11362	4807	758	183	24.14
2013	10940	4411	911	243	26.67
2014	11982	5497	1237	320	25.87
2015	12557	6027	1376	434	31.54
2016	11716	5899	1676	613	36.58
2017	12269	5813	1817	565	31.1
2018	11799	5268	1795	616	34.32
2019	4397	2161	789	286	36.25
