source	year	id	url	suppfile	genelist	geneerrors
ploscompbiol	2010	https://doi.org/10.1371/journal.pcbi.1000671	https://doi.org/10.1371/journal.pcbi.1000671		n	n
ploscompbiol	2010	https://doi.org/10.1371/journal.pcbi.1000672	https://doi.org/10.1371/journal.pcbi.1000672		n	n
ploscompbiol	2010	https://doi.org/10.1371/journal.pcbi.1000674	https://doi.org/10.1371/journal.pcbi.1000674		n	n
ploscompbiol	2010	https://doi.org/10.1371/journal.pcbi.1000675	https://doi.org/10.1371/journal.pcbi.1000675		n	n
ploscompbiol	2010	https://doi.org/10.1371/journal.pcbi.1000676	https://doi.org/10.1371/journal.pcbi.1000676		n	n
ploscompbiol	2010	https://doi.org/10.1371/journal.pcbi.1000677	https://doi.org/10.1371/journal.pcbi.1000677		n	n
ploscompbiol	2010	https://doi.org/10.1371/journal.pcbi.1000678	https://doi.org/10.1371/journal.pcbi.1000678		n	n
ploscompbiol	2010	https://doi.org/10.1371/journal.pcbi.1000662	https://doi.org/10.1371/journal.pcbi.1000662		n	n
ploscompbiol	2010	https://doi.org/10.1371/journal.pcbi.1000663	https://doi.org/10.1371/journal.pcbi.1000663		n	n
ploscompbiol	2010	https://doi.org/10.1371/journal.pcbi.1000664	https://doi.org/10.1371/journal.pcbi.1000664		n	n
ploscompbiol	2010	https://doi.org/10.1371/journal.pcbi.1000665	https://doi.org/10.1371/journal.pcbi.1000665		n	n
ploscompbiol	2010	https://doi.org/10.1371/journal.pcbi.1000666	https://doi.org/10.1371/journal.pcbi.1000666		n	n
ploscompbiol	2010	https://doi.org/10.1371/journal.pcbi.1000668	https://doi.org/10.1371/journal.pcbi.1000668		n	n
ploscompbiol	2010	https://doi.org/10.1371/journal.pcbi.1000669	https://doi.org/10.1371/journal.pcbi.1000669		n	n
ploscompbiol	2010	https://doi.org/10.1371/journal.pcbi.1000703	https://doi.org/10.1371/journal.pcbi.1000703		n	n
ploscompbiol	2010	https://doi.org/10.1371/journal.pcbi.1000718	https://doi.org/10.1371/journal.pcbi.1000718		n	n
ploscompbiol	2010	https://doi.org/10.1371/journal.pcbi.1000719	https://doi.org/10.1371/journal.pcbi.1000719		n	n
ploscompbiol	2010	https://doi.org/10.1371/journal.pcbi.1000720	https://doi.org/10.1371/journal.pcbi.1000720		n	n
ploscompbiol	2010	https://doi.org/10.1371/journal.pcbi.1000721	https://doi.org/10.1371/journal.pcbi.1000721		n	n
ploscompbiol	2010	https://doi.org/10.1371/journal.pcbi.1000722	https://doi.org/10.1371/journal.pcbi.1000722		n	n
ploscompbiol	2010	https://doi.org/10.1371/journal.pcbi.1000723	https://doi.org/10.1371/journal.pcbi.1000723		n	n
ploscompbiol	2010	https://doi.org/10.1371/journal.pcbi.1000734	https://doi.org/10.1371/journal.pcbi.1000734		n	n
ploscompbiol	2010	https://doi.org/10.1371/journal.pcbi.1000712	https://doi.org/10.1371/journal.pcbi.1000712		n	n
ploscompbiol	2010	https://doi.org/10.1371/journal.pcbi.1000713	https://doi.org/10.1371/journal.pcbi.1000713		n	n
ploscompbiol	2010	https://doi.org/10.1371/journal.pcbi.1000714	https://doi.org/10.1371/journal.pcbi.1000714		n	n
ploscompbiol	2010	https://doi.org/10.1371/journal.pcbi.1000715	https://doi.org/10.1371/journal.pcbi.1000715		n	n
ploscompbiol	2010	https://doi.org/10.1371/journal.pcbi.1000716	https://doi.org/10.1371/journal.pcbi.1000716		n	n
ploscompbiol	2010	https://doi.org/10.1371/journal.pcbi.1000717	https://doi.org/10.1371/journal.pcbi.1000717		n	n
ploscompbiol	2010	https://doi.org/10.1371/journal.pcbi.1000700	https://doi.org/10.1371/journal.pcbi.1000700		n	n
ploscompbiol	2010	https://doi.org/10.1371/journal.pcbi.1000701	https://doi.org/10.1371/journal.pcbi.1000701		n	n
ploscompbiol	2010	https://doi.org/10.1371/journal.pcbi.1000704	https://doi.org/10.1371/journal.pcbi.1000704		n	n
ploscompbiol	2010	https://doi.org/10.1371/journal.pcbi.1000705	https://doi.org/10.1371/journal.pcbi.1000705		n	n
ploscompbiol	2010	https://doi.org/10.1371/journal.pcbi.1000706	https://doi.org/10.1371/journal.pcbi.1000706		n	n
ploscompbiol	2010	https://doi.org/10.1371/journal.pcbi.1000707	https://doi.org/10.1371/journal.pcbi.1000707		n	n
ploscompbiol	2010	https://doi.org/10.1371/journal.pcbi.1000708	https://doi.org/10.1371/journal.pcbi.1000708		n	n
ploscompbiol	2010	https://doi.org/10.1371/journal.pcbi.1000709	https://doi.org/10.1371/journal.pcbi.1000709		n	n
ploscompbiol	2010	https://doi.org/10.1371/journal.pcbi.1000710	https://doi.org/10.1371/journal.pcbi.1000710		n	n
ploscompbiol	2010	https://doi.org/10.1371/journal.pcbi.1000711	https://doi.org/10.1371/journal.pcbi.1000711		n	n
ploscompbiol	2010	https://doi.org/10.1371/journal.pcbi.1000693	https://doi.org/10.1371/journal.pcbi.1000693		n	n
ploscompbiol	2010	https://doi.org/10.1371/journal.pcbi.1000694	https://doi.org/10.1371/journal.pcbi.1000694		n	n
ploscompbiol	2010	https://doi.org/10.1371/journal.pcbi.1000695	https://doi.org/10.1371/journal.pcbi.1000695		n	n
ploscompbiol	2010	https://doi.org/10.1371/journal.pcbi.1000696	https://doi.org/10.1371/journal.pcbi.1000696		n	n
ploscompbiol	2010	https://doi.org/10.1371/journal.pcbi.1000697	https://doi.org/10.1371/journal.pcbi.1000697		n	n
ploscompbiol	2010	https://doi.org/10.1371/journal.pcbi.1000698	https://doi.org/10.1371/journal.pcbi.1000698		n	n
