source	year	id	url	suppfile
genomebiology	2019	/articles/10.1186/s13059-019-1662-y	http://genomebiology.biomedcentral.com/articles/10.1186/s13059-019-1662-y	
genomebiology	2019	/articles/10.1186/s13059-019-1672-9	http://genomebiology.biomedcentral.com/articles/10.1186/s13059-019-1672-9	
genomebiology	2019	/articles/10.1186/s13059-019-1665-8	http://genomebiology.biomedcentral.com/articles/10.1186/s13059-019-1665-8	
genomebiology	2019	/articles/10.1186/s13059-019-1666-7	http://genomebiology.biomedcentral.com/articles/10.1186/s13059-019-1666-7	
genomebiology	2019	/articles/10.1186/s13059-019-1663-x	http://genomebiology.biomedcentral.com/articles/10.1186/s13059-019-1663-x	
genomebiology	2019	/articles/10.1186/s13059-019-1667-6	http://genomebiology.biomedcentral.com/articles/10.1186/s13059-019-1667-6	
genomebiology	2019	/articles/10.1186/s13059-019-1658-7	http://genomebiology.biomedcentral.com/articles/10.1186/s13059-019-1658-7	
genomebiology	2019	/articles/10.1186/s13059-019-1669-4	http://genomebiology.biomedcentral.com/articles/10.1186/s13059-019-1669-4	
genomebiology	2019	/articles/10.1186/s13059-019-1664-9	http://genomebiology.biomedcentral.com/articles/10.1186/s13059-019-1664-9	https://static-content.springer.com/esm/art%3A10.1186%2Fs13059-019-1664-9/MediaObjects/13059_2019_1664_MOESM1_ESM.xlsx
genomebiology	2019	/articles/10.1186/s13059-019-1664-9	http://genomebiology.biomedcentral.com/articles/10.1186/s13059-019-1664-9	https://static-content.springer.com/esm/art%3A10.1186%2Fs13059-019-1664-9/MediaObjects/13059_2019_1664_MOESM2_ESM.xlsx
genomebiology	2019	/articles/10.1186/s13059-019-1659-6	http://genomebiology.biomedcentral.com/articles/10.1186/s13059-019-1659-6	https://static-content.springer.com/esm/art%3A10.1186%2Fs13059-019-1659-6/MediaObjects/13059_2019_1659_MOESM1_ESM.xlsx
genomebiology	2019	/articles/10.1186/s13059-019-1645-z	http://genomebiology.biomedcentral.com/articles/10.1186/s13059-019-1645-z	
genomebiology	2019	/articles/10.1186/s13059-019-1668-5	http://genomebiology.biomedcentral.com/articles/10.1186/s13059-019-1668-5	https://static-content.springer.com/esm/art%3A10.1186%2Fs13059-019-1668-5/MediaObjects/13059_2019_1668_MOESM1_ESM.xlsx
genomebiology	2014	/articles/10.1186/gb-2014-15-8-r70	http://genomebiology.biomedcentral.com/articles/10.1186/gb-2014-15-8-r70	https://static-content.springer.com/esm/art%3A10.1186%2Fgb-2014-15-8-r70/MediaObjects/13059_2013_3375_MOESM4_ESM.xlsx
genomebiology	2014	/articles/10.1186/gb-2014-15-8-r70	http://genomebiology.biomedcentral.com/articles/10.1186/gb-2014-15-8-r70	https://static-content.springer.com/esm/art%3A10.1186%2Fgb-2014-15-8-r70/MediaObjects/13059_2013_3375_MOESM3_ESM.zip
genomebiology	2019	/articles/10.1186/s13059-019-1640-4	http://genomebiology.biomedcentral.com/articles/10.1186/s13059-019-1640-4	
genomebiology	2019	/articles/10.1186/s13059-019-1646-y	http://genomebiology.biomedcentral.com/articles/10.1186/s13059-019-1646-y	
