year	papers	files	genelist	error	pcterror
2010	8782	2017	217	69	31.8
2011	9366	2761	416	90	21.63
2012	10319	3785	712	160	22.47
2013	10564	4060	836	210	25.12
2014	11323	4887	1054	238	22.58
2015	11200	4853	1069	300	28.06
2016	10116	4396	981	254	25.89
2017	9905	3579	1078	280	25.97
2018	9505	3109	911	222	24.37
2019	3317	1136	340	93	27.35
