year	papers	files	genelist	error	pcterror
2010	926	671	35	10	28.57
2011	1027	812	49	12	24.49
2012	1205	999	53	10	18.87
2013	1122	854	63	19	30.16
2014	1360	1002	84	19	22.62
2015	1096	905	98	22	22.45
2016	1092	861	104	29	27.88
2017	1209	582	127	26	20.47
2018	1050	384	54	14	25.93
2019	370	133	29	10	34.48
